gps_start_lat,gps_start_lon,t_start,t_endgps_end_lat,gps_end_lon,trip_distance,gps_end_lat,t_end
21.0,-155.5,1514790030789.3882,,-155.9528484701231,,21.339775045592134,1514794466597.708
21.339775045592134,-155.9528484701231,1514819315193.9836,,-155.5,,21.0,1514824389818.2598
21.0,-155.5,1514869306478.9111,,-155.39404559480084,,20.95055806133913,1514870606655.7576
20.95055806133913,-155.39404559480084,1514905725160.7925,,-155.5,,21.0,1514907209917.378
21.0,-155.5,1514955106791.5464,,-155.39404559480084,,20.95055806133913,1514956428407.6565
20.95055806133913,-155.39404559480084,1514989912839.5288,,-155.5,,21.0,1514991469628.7976
21.0,-155.5,1515000762903.0771,,-155.64667015861,,21.105211444229866,1515002910049.232
21.105211444229866,-155.64667015861,1515010189583.5051,,-155.5,,21.0,1515012159492.7102
21.0,-155.5,1515042935415.4114,,-155.39404559480084,,20.95055806133913,1515044242825.5051
20.95055806133913,-155.39404559480084,1515082302452.4204,,-155.5,,21.0,1515083749828.9795
21.0,-155.5,1515128689493.1663,,-155.39404559480084,,20.95055806133913,1515130031266.661
20.95055806133913,-155.39404559480084,1515162249233.1787,,-155.512760332412,,20.993133543420058,1515163455003.3562
20.993133543420058,-155.512760332412,1515165225534.555,,-155.5,,21.0,1515165581610.5295
21.0,-155.5,1515173731184.3516,,-155.5651383961764,,21.050893278858,1515174885102.2922
21.050893278858,-155.5651383961764,1515187144473.2273,,-155.5,,21.0,1515188213998.2751
21.0,-155.5,1515229087040.5466,,-155.512760332412,,20.993133543420058,1515229449708.6794
20.993133543420058,-155.512760332412,1515233472101.391,,-155.5,,21.0,1515233806946.2556
21.0,-155.5,1515322297992.7603,,-155.59418807509962,,21.068877071267032,1515323708382.4414
21.068877071267032,-155.59418807509962,1515332669318.7717,,-155.5,,21.0,1515334263507.9104
21.0,-155.5,1515387975271.7705,,-155.39404559480084,,20.95055806133913,1515389251462.7678
20.95055806133913,-155.39404559480084,1515428975970.2034,,-155.5,,21.0,1515430459411.6182
21.0,-155.5,1515474202535.9863,,-155.39404559480084,,20.95055806133913,1515475513988.4092
20.95055806133913,-155.39404559480084,1515516298102.8748,,-155.5,,21.0,1515517762238.9697
